City,Name,Address
Manhattan,The Delancey,168 Delancey St
Manhattan,Lantern's Keep,49 W 44th St
Manhattan,Dizzy's Club,10 Columbus Cir
Manhattan,The Dakota Bar,53 W 72nd St
Manhattan,Harding's,32 E 21st St
Manhattan,Peak,30 Hudson Yards
Manhattan,Magic Hour Rooftop Bar & Lounge,485 7th Ave
Manhattan,The Owl's Tail,215 W 75th St
Manhattan,Soju Haus,315 5th Ave
Manhattan,The Rickey,210 W 55th St
Manhattan,Prohibition,503 Columbus Ave
Manhattan,Studio,201 Park Ave S
Manhattan,Hold Fast Kitchen & Spirits,364 W 46th St
Manhattan,Dolly Varden,302 W 51st St
Manhattan,The Stayton Room,140 East 48th St
Manhattan,230 Fifth Rooftop Bar,230 5th Ave
Manhattan,The Gin Parlour,111 E 48th St
Manhattan,Oasis Bar,541 Lexington Ave
Manhattan,District Social,252 W 37th St
Manhattan,Sandbar Rooftop,152 W 26th St
Manhattan,Bar Felice,1591 1st Ave
Manhattan,Highkey Rainforest Rooftop,6 Platt St
Manhattan,PHD Terrace at Dream Midtown,210 W 55th St
Manhattan,Snafu,127 E 47th St
Manhattan,Space Ping Pong Lounge & Bar,22 W 32nd St
Manhattan,Tipsy NoMad,37 E 28th St
Manhattan,Vista Sky Lounge,27-05 39th Ave
Manhattan,Little Sister,112 E 11th St
Manhattan,Madison Club Lounge,45 East 45th St
Manhattan,Porchlight,271 11th Ave
Manhattan,Employees Only,510 Hudson St
Manhattan,Made21 Resturant & Lounge,231 S 4th St
Manhattan,BLU 33 Rooftop,325 West 33rd St
Manhattan,Bar Pleiades,20 E 76th St
Manhattan,One Star,147 W 24th St
Manhattan,Lips - New York,227 E 56th St
Manhattan,Russian Vodka Room,265 W 52nd St
Manhattan,Park Avenue Tavern,99 Park Ave
Manhattan,The Nines,9 Great Jones St
Manhattan,Daintree,25 W 38th St
Manhattan,Carnegie Club,156 West 56th St
Manhattan,Caledonia Bar,1609 2nd Ave
Manhattan,T Bar,116 E 60th St
Manhattan,Da Capo Columbus,322 Columbus Ave
Manhattan,Haswell Green's,240 W 52nd St
Manhattan,Darling,36 Central Park S
Manhattan,R Lounge at Two Times Square,"Two Times Square, 714 Seventh Avenue at W. 48th Street"
Manhattan,Elsie Rooftop,1412 Broadway
Manhattan,Pineapple Club,509 E 6th St
Manhattan,Twins Lounge,732 Manhattan Ave
Manhattan,Bubo,515 3rd Ave
Manhattan,The Cabin NYC,205 E 4th St
Manhattan,Sid Gold's Request Room,165 W 26th St
Manhattan,Lost in Paradise Rooftop,11-01 43rd Ave
Manhattan,Treadwell Park,1125 1st Ave
Manhattan,Tiki Chick,517 Amsterdam Ave
Manhattan,Ardesia Wine Bar,510 W 52nd St
Manhattan,The Three Monkeys,236 W 54th St
Manhattan,e's BAR,511 Amsterdam Ave
Manhattan,Juke Bar,196 2nd Ave
Manhattan,Foxy Johns Bar & Kitchen,143 E 47th St
Manhattan,Mondrian Terrace,444 Park Ave S
Manhattan,The Plaza,768 5th Ave
Manhattan,Bookmarks,299 Madison Ave
Manhattan,Good Behavior,44 W29th St
Manhattan,Cedric's At The Shed,545 W 30th St
Manhattan,Little Branch,22 7th Ave S
Manhattan,Iron Bar & Lounge,713 8th Ave
Manhattan,Haven Rooftop,132 W 47th St
Manhattan,Judge Roy Bean Public House,38 W 56th St
Manhattan,Bad Habits,32-03 Broadway
Manhattan,Apotheke,9 Doyers St
Manhattan,Cafe Balearica,44 Berry St
Manhattan,The Dead Rabbit Grocery & Grog,30 Water St
Manhattan,High Bar NYC,346 W 40th St
Manhattan,Le Bain,444 West 13th St
Manhattan,Deacon Brodie's Tavern,370 W 46th St
Manhattan,Silver Lining Lounge,145 Bowery
Manhattan,Dutch Kills,27-24 Jackson Ave
Manhattan,Roof At Park South,125 E 27th St
Manhattan,Karizma,244 E 51st St
Manhattan,The McKittrick Hotel,530 W 27th St
Manhattan,Sincerely Ophelia,221 2nd Ave
Manhattan,The Met Cantor Rooftop & Garden,1000 5th Ave
Manhattan,Joyface,104 Avenue C
Manhattan,Top of the Strand Rooftop Bar,33 West 37th St
Manhattan,La Grande Boucherie,145 W 53rd St
Manhattan,Martiny's,121 E 17th St
Manhattan,Dante,79-81 Macdougal St
Manhattan,The Empire Rooftop,44 W 63rd St
Manhattan,Rainbow Room,30 Rockefeller Plz
Manhattan,Lovers of Today,132 1/2 E 7th St
Manhattan,Blend on the Water,45-40 Center Blvd
Manhattan,The Factory 380,380 3rd Ave
Manhattan,Fig. 19,131 Chrystie St
Manhattan,Maison Pickle,2315 Broadway
Manhattan,Gardenia Terrace,826 10th Ave
Manhattan,MADE Hotel,44 W 29th St
Manhattan,Locl Bar,2178 Broadway
Manhattan,LAVO Nightclub,39 E 58th St
Manhattan,Victory Restaurant & Lounge,221 W 38th St
Manhattan,Pioneers,138 W 29th St
Manhattan,Baccarat Hotel Grand Salon,28 W 53rd St
Manhattan,Holywater,112 Reade St
Manhattan,Butterfly SOHO,60 Thompson St
Manhattan,Lizard Lounge,240 W 54th St
Manhattan,Panorama Room,22 N Loop Rd
Manhattan,Bar B,84 7th Ave
Manhattan,Cantina Rooftop,605 W 48th St
Manhattan,Space Billiard Pool Hall & Sports Bar,34 W 32nd St
Manhattan,The Shakespeare,24 E 39th St
Manhattan,Lobby Bar,105 W 28th St
Manhattan,Bar 54,135 W 45th St
Manhattan,OS NYC,50 Bowery St
Manhattan,The Garret,296 Bleecker St
Manhattan,Jimmy's Corner,140 W 44th St
Manhattan,Coby Club,156  1/2  Seventh Ave
Manhattan,Taj Mahal Lounge,25-27 Steinway St
Manhattan,Parker & Quinn,64 W 39th St
Manhattan,MOON BAR Rooftop,137-72 Northern Blvd
Manhattan,NR,339 E 75th St
Manhattan,The Sefton,1373 1st Ave
Manhattan,ART SoHo,231 Hudson St
Manhattan,Alphabet Bar & Café,112 E 11th St
Manhattan,Loulou Petit Bistro & Speakeasy,176 8th Ave
Manhattan,Harriet's Rooftop,60 Furman St
Manhattan,The Core Club,66 E 55th St
Manhattan,Bedford Falls,206 E 67th St
Manhattan,Club Cumming,505 E 6th St
Manhattan,Taboo Lounge,406 8th Ave
Manhattan,The Village Underground,130 W 3rd St
Manhattan,Keybar,143 Troutman St
Manhattan,District M,700 8th Ave
Manhattan,Verlaine,110 Rivington St
Manhattan,Tantra Lounge,35-50 31st St
Manhattan,Pil Pil,265 E 78th St
Manhattan,Lounge On Pearl,88 Wall St
Manhattan,The Whitby Bar and Restaurant,18 W 56th St
Manhattan,RH Rooftop Restaurant New York,9 9th Ave
Manhattan,The Lingerie Shoppe aka Astoria’s Secret,28-53 Steinway St
Manhattan,HOA restaurant and lounge,2849 Steinway St
Manhattan,Solas,232 E 9th St
Manhattan,Eavesdrop,674 Manhattan Ave
Manhattan,Birdland,315 W 44th St
Manhattan,Conmigo,1685 1st Ave
Manhattan,Winnie's Jazz Bar,63 W 38th St
Manhattan,Sky Lounge,66 Rockwell Pl
Manhattan,cloudM Rooftop Bar Bowery,189 Bowery
Manhattan,Basement,45 Mott St
Manhattan,Botanica Bar,47 E Houston St
Manhattan,The Water Tower Bar,96 Wythe Ave
Manhattan,Park Bar,15 E 15th St
Manhattan,Spot Karaoke & Lounge,34 W 32nd St
Manhattan,The Back Room,102 Norfolk St
Manhattan,Shake Rattle N Roll Pianos,44 East 32nd St
Manhattan,Tao,625 Madison Ave
Manhattan,Amor y Amargo,443 E 6th St
Manhattan,Dark Bullet Sake & Oyster Bar,154 W 72nd St
Manhattan,Valhalla,815 9th Ave
Manhattan,Lounge 247,247 Eldridge St
Manhattan,Sugar Monk,2292 Frederick Douglass Blvd
Manhattan,Mezzrow,163 W 10th St
Manhattan,Overlook,225 E 44th St
Manhattan,Aretsky's Patroon,160 E 46th St
Manhattan,The Beast Next Door,42-51 27th St
Manhattan,ViV,717 9th Ave
Manhattan,Renaissance New York Midtown Hotel,218 W 35th St
Manhattan,Velvet Brooklyn,174 Broadway
Manhattan,Apotheke Nomad,9 W 26th St
Manhattan,The Bar Room at The Modern,9 W 53rd St
Manhattan,Subject,188 Suffolk St
Manhattan,Duane Park,308 Bowery
Manhattan,Quin Bar NYC,30 Hudson Yards
Manhattan,The Champagne Bar,Fifth Avenue At Central Park S
Manhattan,Bar Nine,807 9th Ave
Manhattan,Cove Lounge,325 Malcolm X Blvd
Manhattan,Anotheroom,249 W Broadway
Manhattan,Katana Kitten,531 Hudson St
Manhattan,Lambda Lounge,2256 Adam Clayton Powell Jr Blvd
Manhattan,Pocha 32,15 W 32nd St
Manhattan,Kobrick Coffee,24 9th Ave
Manhattan,Alligator Lounge,600 Metropolitan Ave
Manhattan,Doha Bar & Lounge,3834 31st St
Manhattan,Analogue,19 W 8th St
Manhattan,Ludlow House,139 Ludlow St
Manhattan,Flute Midtown,205 W 54th St
Manhattan,HandCraft Kitchen & Cocktails,367 3rd Ave
Manhattan,Zinc Bar,82 W 3rd St
Manhattan,Electric Room,355 W 16th St
Manhattan,JoJo,160 E 64th St
Manhattan,Jungly,12-23 Jackson Ave
Manhattan,Lost Spirits NYC,11 W 17th St
Manhattan,Salon de Ning,700 5th Ave
Manhattan,The Fat Black Pussycat,130 W 3rd St
Manhattan,The Grand Salon and The Bar,28 W 53rd St
Manhattan,SPIN New York,48 E 23rd St
Manhattan,Nebula,135 W 41st St
Manhattan,NoHu Rooftop Bar & Restaurant,550 Ave At Port Imperial
Manhattan,The Blond,11 Howard St
Manhattan,Cask,167 E 33rd St
Manhattan,STK Steakhouse Rooftop NYC,26 Little West 12th St
Manhattan,Paper Planes,154 Orchard St
Manhattan,Lotus Lounge & Grill,66-48 Myrtle Ave
Manhattan,67 Orange Street,2082 Frederick Douglas Blvd
Manhattan,Somewhere in Nolita,30 Kenmare St
Manhattan,The Headless Widow,99 1st Ave
Manhattan,"The Beekman, A Thompson Hotel",123 Nassau St
Manhattan,Tempo by Hilton New York Times Square,25 W 51st St
Manhattan,Greenwich Treehouse,46 Greenwich Ave
Manhattan,Blue Ribbon Sushi Bar & Grill-Roof Deck,308 W 58th St
Manhattan,Russian Samovar Restaurant and Piano Bar,256 W 52nd St
Manhattan,Spyglass Rooftop Bar,47 W 38th St
Manhattan,Social 59 Eatery & Lounge,512 59th St
Manhattan,Brandy Library,25 N Moore St
Manhattan,Dumbo House,55 Water St
Manhattan,Good Room,98 Meserole Ave
Manhattan,Lillie's Victorian Establishment,13 E 17th St
Manhattan,Hi-Life,477 Amsterdam Ave
Manhattan,Robert,2 Columbus Cir
Manhattan,Wiggle Room,9 Avenue A
Manhattan,Deja Vu Restaurant & Lounge,301 W 151st St
Manhattan,Trestle,34-02 Broadway
Manhattan,The New York EDITION,5 Madison Ave
Manhattan,Overstory,70 Pine St
Manhattan,Pinks,242 E 10th St
Manhattan,Honeycomb Hi-Fi Lounge,74 5th Ave
Manhattan,Resolution 39,228 W 39th St
Manhattan,VERSA,218 W 35th St
Manhattan,Harlem Nights Bar,2361 7th Ave
Manhattan,TAO Downtown Nightclub,369 W 16th St
Manhattan,Parkside Lounge,317 E Houston St
Manhattan,Déjà Vu,3322 28th Ave
Manhattan,Saint Vitus,1120 Manhattan Ave
Manhattan,Jimmy,15 Thompson St
Manhattan,Tribeca Rooftop,2 Desbrosses St
Manhattan,MUI,10 W 32nd St
Manhattan,Whiskey Trader,71 W 55th St
Manhattan,Kimpton Hotel Eventi,851 Avenue Of The Americas
Manhattan,The Green Room,340 W 50th St
Manhattan,Gallow Green,542 W 27th St
Manhattan,Vice Lounge,211 Kings Hwy
Manhattan,Milk and Roses,35 Box St
Manhattan,House of Yes,2 Wyckoff Ave
Manhattan,Rabbit Hole,38-04 Broadway
Manhattan,Desert Rain Lounge,107-29 Metropolitan Ave
Manhattan,Wine 30,41 E 30th St
Manhattan,Garfunkel's,67 Clinton St
Manhattan,The Greats Of Craft,983 1st Ave
Manhattan,The Duplex,61 Christopher St
Manhattan,Living Room,225 River St
Manhattan,Pennsylvania 6 NYC,132 W 31st St
Manhattan,BLACKBARN,19 E 26th St
Manhattan,Dirty French,180 Ludlow St
Manhattan,Retroclubnyc,9 E 45th St
Manhattan,Hudson Malone: A New York Joint,218 E 53rd St
Manhattan,Terrazzo Bryant Park,18 W 40th St
Manhattan,Weather Up,159 Duane St
Manhattan,Westlight,111 N 12th St
Manhattan,St. Cloud,6 Times Square
Manhattan,Peter Dillon's,130 E 40th St
Manhattan,Anfora,34 8th Ave
Manhattan,Amélie,22 W 8th St
Manhattan,Ted's Corner Tavern,523 3rd Ave
Manhattan,Delta Sky Club,
Manhattan,Dream Baby,162 Avenue B
Manhattan,The Spot,599 10th Ave
Manhattan,Trademark Bar + Kitchen,38 W 36th St
Manhattan,Gabriel Kreuther,41 W 42nd St
Manhattan,Den Social Karaoke,65 W 36th St
Manhattan,Saga,70 Pine St
Manhattan,Brandy's Piano Bar,235 E 84th St
Manhattan,Space Karaoke Bar &  Lounge NYC,34 W 32nd St
Manhattan,5 Bar Karaoke & Lounge,38 W 32nd St
Manhattan,Grand Republic Cocktail Club,19 Greenpoint Ave
Manhattan,The Leroy House,430 Hudson St
Manhattan,Skorpios,5 East 54th St
Manhattan,Tavern29,47 E 29th St
Manhattan,BrookLAN,339 Troutman St
Manhattan,Common Ground,63 Gansevoort St
Manhattan,Pokito,155 S 4th St
Manhattan,Brass Monkey,55 Little W 12th St
Manhattan,124 Old Rabbit Club,124 MacDougal St
Manhattan,& Son Steakeasy,62 W 9th St
Manhattan,Harlem Hookah,381 Lenox Ave
Manhattan,The Ainsworth - Midtown,45 E 33rd St
Manhattan,Bar Chrystie,215 Chrystie St
Manhattan,The Penthouse - Ravel Hotel,8-08 Queens Plz S
Manhattan,Lady Blue,363 W 46th St
Manhattan,Art Bar,52 8th Ave
Manhattan,Kaia Wine Bar,1614 3rd Ave
Manhattan,Blade Lounge West,12TH Ave And W 30th St
Manhattan,The Gray Mare,61 2nd Ave
Manhattan,The Lounge,109 E 42nd St
Manhattan,The Spot,42-21 Broadway
Manhattan,Noree ,274 Grand St
Manhattan,The VNYL,100 3rd Ave
Manhattan,Black Rabbit,91 Greenpoint Ave
Manhattan,Lazy Point,310 Spring St
Manhattan,District Tap House,246 W 38th St
Manhattan,Mochi Dolci,222 W 79th St
Manhattan,Union Square Lounge,30 E 16th St
Manhattan,Room Service,35 E 21st St
Manhattan,Vol de Nuit,148 W 4th St
Manhattan,Haven Lounge,683 Grand St
Manhattan,Rooftop 760,760 8th Ave
Manhattan,Eleven Madison Park,11 Madison Ave
Manhattan,Park Avenue Armory,643 Park Ave
Manhattan,Harbor Bar,1095 6th Ave
Manhattan,Merchants NY,190 7th Ave
Manhattan,The Trump Bar,725 5th Ave
Manhattan,Le Bernardin,155 W 51st St
Manhattan,Bar Moga,128 W Houston St
Manhattan,The High Line Hotel,180 10th Ave
